viejo,nuevo,1.58,A,7.25,1.58,2.72,2.81,2,7.25,1,0.41
listo,inteligente,9.2,A,7.11,9.2,1.75,2.46,1,7.11,1,0.67
dificil,dificultoso,8.77,A,5.94,8.77,3.76,2.21,2,5.94,1,1.19
feliz,alegre,9.55,A,5.85,9.55,2.56,2.34,1,5.85,1,2.18
dificil,fácil,0.95,A,5.82,0.95,3.76,2.07,2,5.82,1,0.93
rápido,veloz,8.75,A,5.66,8.75,3.32,3.07,2,5.66,1,1.68
happy,contento,9.17,A,5.49,9.17,2.56,2.36,1,5.49,1,1.59
corto,largo,1.23,A,5.36,1.23,3.61,3.18,2,5.36,1,1.58
estúpido,tonto,9.58,A,5.26,9.58,1.75,2.36,1,5.26,1,1.48
raro,extraño,8.93,A,4.26,8.93,1.59,1.86,1,4.26,1,1.3
ancho,estrecho,1.03,A,4.06,1.03,3.06,3.04,2,4.06,1,0.58
malo,horrible,8.42,A,3.41,8.42,1.68,1.92,1,3.41,1,1.74
fácil,dificil,0.58,A,2.83,0.58,2.07,2.21,1,2.83,1,0.36
malo,terrible,7.78,A,2.31,7.78,1.68,2.04,1,2.31,1,1.43
dificil,simple,1.38,A,2.16,1.38,3.76,1.62,2,2.16,1,1.03
listo,tonto,0.55,A,2.1,0.55,1.75,2.36,1,2.1,1,0.47
,loco,9.57,A,2.09,9.57,1.77,2.37,1,2.09,1,0.92
feliz,loco,0.95,A,2.07,0.95,2.56,2.76,2,2.07,1,1.4
grande,gigante,9.47,A,2,9.47,3.37,3.54,2,2,1,1.27
duro,rígido,8.05,A,1.99,8.05,3.76,2.5,2,1.99,1,1.18
nuevo,fresco,6.83,A,1.98,6.83,2.81,1.97,1,1.98,1,1.2
agudo,aburrido,0.6,A,1.48,0.6,3.86,2.37,2,1.48,1,1.39
apresurado,rápido,9.7,A,1.38,9.7,2.89,3.07,2,1.38,1,1.14
tonto,bobo,6.67,A,1.34,6.67,2.36,1.84,1,1.34,1,1.36
maravilloso,genial,8.63,A,1.17,8.63,1.82,2.07,1,1.17,1,1.63
extraño,,9.02,A,1.16,9.02,1.86,1.7,1,1.16,1,1.04
feliz,enojado,1.28,A,1.15,1.28,2.56,2.53,1,1.15,1,1.41
estrecho,amplio,1.18,A,1,1.18,3.04,2.45,2,1,1,1.18
simple,fácil,9.4,A,0.96,9.4,1.62,2.07,1,0.96,1,1.51
viejo,fresco,0.87,A,0.91,0.87,2.72,1.97,1,0.91,1,1.64
evidente,obvio,8.47,A,0.89,8.47,1.73,2.07,1,0.89,1,1.52
económico,barato,8.72,A,0.79,8.72,2.22,2.11,1,0.79,1,0.81
agradable,generoso,5,A,0.77,5,2.18,2.25,1,0.77,1,1.14
raro,normal,0.72,A,0.76,0.72,1.59,1.4,1,0.76,1,1.15
raro,,9.2,A,0.75,9.2,1.59,1.7,1,0.75,1,1.27
malo,inmoral,7.62,A,0.74,7.62,1.68,1.59,1,0.74,1,0.98
